# Interpolated from Woollam data to StellarNet BlackComet grid (400.2-999.9 nm)
# wavelength_nm	M12	M13	M14	M21	M22	M23	M24	M31	M32	M33	M34	M41	M42	M43	M44
400.248140	-0.249998	0.000000	0.000000	-0.249998	1.000000	0.000000	0.000000	0.000000	0.000000	0.011116	-0.968180	0.000000	0.000000	0.968180	0.011116
400.746060	-0.247936	0.000000	0.000000	-0.247936	1.000000	0.000000	0.000000	0.000000	0.000000	0.012649	-0.968691	0.000000	0.000000	0.968691	0.012649
401.243900	-0.245849	0.000000	0.000000	-0.245849	1.000000	0.000000	0.000000	0.000000	0.000000	0.014145	-0.969203	0.000000	0.000000	0.969203	0.014145
401.741610	-0.243734	0.000000	0.000000	-0.243734	1.000000	0.000000	0.000000	0.000000	0.000000	0.015602	-0.969714	0.000000	0.000000	0.969714	0.015602
402.239230	-0.241596	0.000000	0.000000	-0.241596	1.000000	0.000000	0.000000	0.000000	0.000000	0.017025	-0.970225	0.000000	0.000000	0.970225	0.017025
402.736760	-0.239432	0.000000	0.000000	-0.239432	1.000000	0.000000	0.000000	0.000000	0.000000	0.018412	-0.970736	0.000000	0.000000	0.970736	0.018412
403.234160	-0.237245	0.000000	0.000000	-0.237245	1.000000	0.000000	0.000000	0.000000	0.000000	0.019767	-0.971246	0.000000	0.000000	0.971246	0.019767
403.731480	-0.235033	0.000000	0.000000	-0.235033	1.000000	0.000000	0.000000	0.000000	0.000000	0.021087	-0.971756	0.000000	0.000000	0.971756	0.021087
404.228670	-0.232798	0.000000	0.000000	-0.232798	1.000000	0.000000	0.000000	0.000000	0.000000	0.022378	-0.972265	0.000000	0.000000	0.972265	0.022378
404.725770	-0.230537	0.000000	0.000000	-0.230537	1.000000	0.000000	0.000000	0.000000	0.000000	0.023633	-0.972773	0.000000	0.000000	0.972773	0.023633
405.222780	-0.228255	0.000000	0.000000	-0.228255	1.000000	0.000000	0.000000	0.000000	0.000000	0.024860	-0.973281	0.000000	0.000000	0.973281	0.024860
405.719670	-0.225945	0.000000	0.000000	-0.225945	1.000000	0.000000	0.000000	0.000000	0.000000	0.026051	-0.973789	0.000000	0.000000	0.973789	0.026051
406.216430	-0.223614	0.000000	0.000000	-0.223614	1.000000	0.000000	0.000000	0.000000	0.000000	0.027212	-0.974296	0.000000	0.000000	0.974296	0.027212
406.713130	-0.221253	0.000000	0.000000	-0.221253	1.000000	0.000000	0.000000	0.000000	0.000000	0.028333	-0.974802	0.000000	0.000000	0.974802	0.028333
407.209720	-0.218874	0.000000	0.000000	-0.218874	1.000000	0.000000	0.000000	0.000000	0.000000	0.029431	-0.975307	0.000000	0.000000	0.975307	0.029431
407.706180	-0.216469	0.000000	0.000000	-0.216469	1.000000	0.000000	0.000000	0.000000	0.000000	0.030498	-0.975810	0.000000	0.000000	0.975810	0.030498
408.202550	-0.214045	0.000000	0.000000	-0.214045	1.000000	0.000000	0.000000	0.000000	0.000000	0.031539	-0.976312	0.000000	0.000000	0.976312	0.031539
408.698820	-0.211592	0.000000	0.000000	-0.211592	1.000000	0.000000	0.000000	0.000000	0.000000	0.032544	-0.976813	0.000000	0.000000	0.976813	0.032544
409.194980	-0.209122	0.000000	0.000000	-0.209122	1.000000	0.000000	0.000000	0.000000	0.000000	0.033526	-0.977313	0.000000	0.000000	0.977313	0.033526
409.691040	-0.206623	0.000000	0.000000	-0.206623	1.000000	0.000000	0.000000	0.000000	0.000000	0.034473	-0.977810	0.000000	0.000000	0.977810	0.034473
410.186980	-0.204106	0.000000	0.000000	-0.204106	1.000000	0.000000	0.000000	0.000000	0.000000	0.035398	-0.978306	0.000000	0.000000	0.978306	0.035398
410.682830	-0.201560	0.000000	0.000000	-0.201560	1.000000	0.000000	0.000000	0.000000	0.000000	0.036290	-0.978800	0.000000	0.000000	0.978800	0.036290
411.178590	-0.198997	0.000000	0.000000	-0.198997	1.000000	0.000000	0.000000	0.000000	0.000000	0.037158	-0.979293	0.000000	0.000000	0.979293	0.037158
411.674220	-0.196400	0.000000	0.000000	-0.196400	1.000000	0.000000	0.000000	0.000000	0.000000	0.037986	-0.979784	0.000000	0.000000	0.979784	0.037986
